Group,Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
06UncorrelatedWithSimilarWeights,s001.kp,100,4952761,37000,4902351,49,True,6.9891,OPTIMAL
06UncorrelatedWithSimilarWeights,s000.kp,200,9906016,75678,9904900,99,True,0.0000,OPTIMAL
06UncorrelatedWithSimilarWeights,s001.kp,200,9905870,72399,9904984,99,True,0.0000,OPTIMAL
06UncorrelatedWithSimilarWeights,s000.kp,500,24764323,189769,24712055,247,False,180.0150,TIME_LIMIT
06UncorrelatedWithSimilarWeights,s001.kp,500,24765570,187312,24712830,247,False,180.0255,TIME_LIMIT
06UncorrelatedWithSimilarWeights,s000.kp,1000,49530184,371246,49525319,495,True,0.1141,OPTIMAL
06UncorrelatedWithSimilarWeights,s001.kp,1000,49529232,379545,49523374,495,True,5.2823,OPTIMAL
06UncorrelatedWithSimilarWeights,s000.kp,2000,99060132,748457,99050305,990,False,180.0257,TIME_LIMIT
06UncorrelatedWithSimilarWeights,s001.kp,2000,99059172,746520,99050111,990,False,180.0709,TIME_LIMIT
06UncorrelatedWithSimilarWeights,s000.kp,5000,247647787,1872056,247621933,2475,False,180.0113,TIME_LIMIT
06UncorrelatedWithSimilarWeights,s001.kp,5000,247647324,1871193,247621955,2475,False,180.0145,TIME_LIMIT
07SpannerUncorrelated,s000.kp,50,4569,13472,4569,29,True,0.0109,OPTIMAL
07SpannerUncorrelated,s001.kp,50,6638,11948,6578,31,True,3.8103,OPTIMAL
07SpannerUncorrelated,s000.kp,100,8751,24228,8748,57,False,180.0198,TIME_LIMIT
07SpannerUncorrelated,s001.kp,100,11944,22147,11914,66,False,180.0424,TIME_LIMIT
07SpannerUncorrelated,s000.kp,200,17280,47836,17274,115,False,180.0072,TIME_LIMIT
07SpannerUncorrelated,s001.kp,200,25949,43417,25921,134,False,180.1193,TIME_LIMIT
07SpannerUncorrelated,s000.kp,500,42900,114616,42898,292,False,180.0045,TIME_LIMIT
07SpannerUncorrelated,s001.kp,500,63375,119279,63365,339,False,180.0231,TIME_LIMIT
07SpannerUncorrelated,s000.kp,1000,84660,228624,84656,598,False,180.0156,TIME_LIMIT
07SpannerUncorrelated,s001.kp,1000,120522,232145,120497,664,False,180.0104,TIME_LIMIT
07SpannerUncorrelated,s000.kp,2000,168004,459560,168004,1193,False,179.9983,TIME_LIMIT
07SpannerUncorrelated,s001.kp,2000,254127,443575,254104,1336,False,179.9975,TIME_LIMIT
07SpannerUncorrelated,s000.kp,5000,413032,1131684,413019,2965,False,180.0020,TIME_LIMIT
07SpannerUncorrelated,s001.kp,5000,633706,1097022,633696,3307,False,180.0200,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,50,11459,10354,11452,25,True,5.2507,OPTIMAL
08SpannerWeaklyCorrelated,s001.kp,50,6502,15276,6437,35,True,3.5177,OPTIMAL
08SpannerWeaklyCorrelated,s000.kp,100,20835,20550,20824,48,True,0.0060,OPTIMAL
08SpannerWeaklyCorrelated,s001.kp,100,12015,27478,11951,69,False,180.0622,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,200,41138,40575,41116,97,True,36.2176,OPTIMAL
